# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContainsDataset.regexMatches
# Parameters: (json_filename = http_0.3_26.json, regex = http)

# Run progress: 0.00% complete, ETA 00:04:10
# Fork: 1 of 5
# Warmup Iteration   1: 1854284.681 ns/op
# Warmup Iteration   2: 1684291.320 ns/op
# Warmup Iteration   3: 1748992.332 ns/op
# Warmup Iteration   4: 1749474.133 ns/op
# Warmup Iteration   5: 1748500.393 ns/op
Iteration   1: 1746646.962 ns/op
Iteration   2: 1747520.007 ns/op
Iteration   3: 1748432.103 ns/op
Iteration   4: 1747459.653 ns/op
Iteration   5: 1692569.147 ns/op
Iteration   6: 1666018.256 ns/op
Iteration   7: 1665992.464 ns/op
Iteration   8: 1666368.373 ns/op
Iteration   9: 1665906.968 ns/op
Iteration  10: 1665962.138 ns/op
Iteration  11: 1666088.537 ns/op
Iteration  12: 1666240.394 ns/op
Iteration  13: 1683475.971 ns/op
Iteration  14: 1668037.183 ns/op
Iteration  15: 1667772.033 ns/op
Iteration  16: 1667923.483 ns/op
Iteration  17: 1668301.525 ns/op
Iteration  18: 1667801.075 ns/op
Iteration  19: 1667847.013 ns/op
Iteration  20: 1668304.857 ns/op

# Run progress: 10.00% complete, ETA 00:03:48
# Fork: 2 of 5
# Warmup Iteration   1: 1914105.616 ns/op
# Warmup Iteration   2: 1739475.870 ns/op
# Warmup Iteration   3: 1805020.162 ns/op
# Warmup Iteration   4: 1804958.613 ns/op
# Warmup Iteration   5: 1805267.618 ns/op
Iteration   1: 1805086.214 ns/op
Iteration   2: 1805788.769 ns/op
Iteration   3: 1805418.744 ns/op
Iteration   4: 1804854.002 ns/op
Iteration   5: 1775308.376 ns/op
Iteration   6: 1728901.696 ns/op
Iteration   7: 1727738.143 ns/op
Iteration   8: 1728247.114 ns/op
Iteration   9: 1727752.710 ns/op
Iteration  10: 1728001.307 ns/op
Iteration  11: 1727957.497 ns/op
Iteration  12: 1727201.774 ns/op
Iteration  13: 1745888.571 ns/op
Iteration  14: 1811754.971 ns/op
Iteration  15: 1808277.709 ns/op
Iteration  16: 1792435.036 ns/op
Iteration  17: 1728288.271 ns/op
Iteration  18: 1728614.554 ns/op
Iteration  19: 1728835.446 ns/op
Iteration  20: 1728697.330 ns/op

# Run progress: 20.00% complete, ETA 00:03:23
# Fork: 3 of 5
# Warmup Iteration   1: 2086316.505 ns/op
# Warmup Iteration   2: 1920613.324 ns/op
# Warmup Iteration   3: 1994720.888 ns/op
# Warmup Iteration   4: 1996000.396 ns/op
# Warmup Iteration   5: 1995924.315 ns/op
Iteration   1: 1995847.313 ns/op
Iteration   2: 1999248.044 ns/op
Iteration   3: 1996646.581 ns/op
Iteration   4: 1997312.944 ns/op
Iteration   5: 1997169.295 ns/op
Iteration   6: 1962616.106 ns/op
Iteration   7: 1919387.038 ns/op
Iteration   8: 1922463.687 ns/op
Iteration   9: 1919328.364 ns/op
Iteration  10: 1918904.347 ns/op
Iteration  11: 1919759.607 ns/op
Iteration  12: 1918643.105 ns/op
Iteration  13: 1918838.088 ns/op
Iteration  14: 1919254.996 ns/op
Iteration  15: 1934670.929 ns/op
Iteration  16: 1918682.534 ns/op
Iteration  17: 1921692.363 ns/op
Iteration  18: 1919196.724 ns/op
Iteration  19: 1918678.004 ns/op
Iteration  20: 1921878.002 ns/op

# Run progress: 30.00% complete, ETA 00:02:57
# Fork: 4 of 5
# Warmup Iteration   1: 1918728.170 ns/op
# Warmup Iteration   2: 1740061.047 ns/op
# Warmup Iteration   3: 1805578.439 ns/op
# Warmup Iteration   4: 1805355.067 ns/op
# Warmup Iteration   5: 1805089.481 ns/op
Iteration   1: 1805101.088 ns/op
Iteration   2: 1805690.040 ns/op
Iteration   3: 1805288.856 ns/op
Iteration   4: 1805007.659 ns/op
Iteration   5: 1768945.610 ns/op
Iteration   6: 1729253.390 ns/op
Iteration   7: 1728838.981 ns/op
Iteration   8: 1729257.339 ns/op
Iteration   9: 1729130.375 ns/op
Iteration  10: 1729059.022 ns/op
Iteration  11: 1729314.995 ns/op
Iteration  12: 1728425.575 ns/op
Iteration  13: 1743906.789 ns/op
Iteration  14: 1728800.437 ns/op
Iteration  15: 1728260.570 ns/op
Iteration  16: 1728313.026 ns/op
Iteration  17: 1728452.915 ns/op
Iteration  18: 1728107.383 ns/op
Iteration  19: 1728256.641 ns/op
Iteration  20: 1728713.029 ns/op

# Run progress: 40.00% complete, ETA 00:02:32
# Fork: 5 of 5
# Warmup Iteration   1: 1849832.148 ns/op
# Warmup Iteration   2: 1682393.195 ns/op
# Warmup Iteration   3: 1741781.659 ns/op
# Warmup Iteration   4: 1742438.329 ns/op
# Warmup Iteration   5: 1742722.524 ns/op
Iteration   1: 1742597.192 ns/op
Iteration   2: 1744177.922 ns/op
Iteration   3: 1743565.495 ns/op
Iteration   4: 1743098.953 ns/op
Iteration   5: 1691317.691 ns/op
Iteration   6: 1667484.103 ns/op
Iteration   7: 1667001.832 ns/op
Iteration   8: 1667222.610 ns/op
Iteration   9: 1666840.203 ns/op
Iteration  10: 1665676.719 ns/op
Iteration  11: 1665812.597 ns/op
Iteration  12: 1665270.567 ns/op
Iteration  13: 1679995.555 ns/op
Iteration  14: 1665651.451 ns/op
Iteration  15: 1665563.033 ns/op
Iteration  16: 1665537.408 ns/op
Iteration  17: 1665662.438 ns/op
Iteration  18: 1665445.478 ns/op
Iteration  19: 1665303.173 ns/op
Iteration  20: 1665395.313 ns/op


Result "benchmark.StringContainsDataset.regexMatches":
  1763146.779 ±(99.9%) 34082.982 ns/op [Average]
  (min, avg, max) = (1665270.567, 1763146.779, 1999248.044), stdev = 100494.449
  CI (99.9%): [1729063.797, 1797229.761] (assumes normal distribution)


# JMH version: 1.29
# VM version: JDK 11.0.10, OpenJDK 64-Bit Server VM, 11.0.10+9-Ubuntu-0ubuntu1.18.04
# VM invoker: /usr/lib/jvm/java-11-openjdk-amd64/bin/java
# VM options: -server -Xms2G -Xmx2G
# Blackhole mode: full + dont-inline hint
# Warmup: 5 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: benchmark.StringContainsDataset.stringContains
# Parameters: (json_filename = http_0.3_26.json, regex = http)

# Run progress: 50.00% complete, ETA 00:02:06
# Fork: 1 of 5
# Warmup Iteration   1: 50313.143 ns/op
# Warmup Iteration   2: 49247.156 ns/op
# Warmup Iteration   3: 49166.966 ns/op
# Warmup Iteration   4: 49117.867 ns/op
# Warmup Iteration   5: 49170.406 ns/op
Iteration   1: 50428.029 ns/op
Iteration   2: 50120.124 ns/op
Iteration   3: 50067.082 ns/op
Iteration   4: 50109.525 ns/op
Iteration   5: 50118.963 ns/op
Iteration   6: 50046.289 ns/op
Iteration   7: 50072.830 ns/op
Iteration   8: 50042.396 ns/op
Iteration   9: 50097.431 ns/op
Iteration  10: 50075.406 ns/op
Iteration  11: 50101.414 ns/op
Iteration  12: 50068.446 ns/op
Iteration  13: 53612.687 ns/op
Iteration  14: 50108.835 ns/op
Iteration  15: 50014.697 ns/op
Iteration  16: 49975.028 ns/op
Iteration  17: 50053.760 ns/op
Iteration  18: 50059.290 ns/op
Iteration  19: 50063.635 ns/op
Iteration  20: 50086.684 ns/op

# Run progress: 60.00% complete, ETA 00:01:41
# Fork: 2 of 5
# Warmup Iteration   1: 50124.008 ns/op
# Warmup Iteration   2: 48925.350 ns/op
# Warmup Iteration   3: 48917.608 ns/op
# Warmup Iteration   4: 48753.490 ns/op
# Warmup Iteration   5: 48766.085 ns/op
Iteration   1: 49852.182 ns/op
Iteration   2: 46396.188 ns/op
Iteration   3: 46312.619 ns/op
Iteration   4: 46461.361 ns/op
Iteration   5: 46359.243 ns/op
Iteration   6: 46353.456 ns/op
Iteration   7: 46379.867 ns/op
Iteration   8: 46361.567 ns/op
Iteration   9: 46362.260 ns/op
Iteration  10: 46425.349 ns/op
Iteration  11: 46406.059 ns/op
Iteration  12: 46346.916 ns/op
Iteration  13: 46428.406 ns/op
Iteration  14: 46367.762 ns/op
Iteration  15: 46367.456 ns/op
Iteration  16: 46317.554 ns/op
Iteration  17: 46316.655 ns/op
Iteration  18: 46355.014 ns/op
Iteration  19: 46308.841 ns/op
Iteration  20: 46331.748 ns/op

# Run progress: 70.00% complete, ETA 00:01:16
# Fork: 3 of 5
# Warmup Iteration   1: 49850.440 ns/op
# Warmup Iteration   2: 48675.133 ns/op
# Warmup Iteration   3: 48607.581 ns/op
# Warmup Iteration   4: 48528.284 ns/op
# Warmup Iteration   5: 48516.739 ns/op
Iteration   1: 49956.816 ns/op
